Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus ,MSR,Contract Status,Euro Archetype Tag
Maxwell Lewis,1,19.7,8,2,7,0.286,1,4,0.25,3,4,0.75,2,2,4,3,0,0,1,2,0,9.565,Unknown,Unassigned
Miles Norris,1,21.5,8,2,5,0.4,1,4,0.25,3,3,1.0,1,4,5,0,3,1,1,5,12,12.225,Unknown,Unassigned
Nate Williams,1,31.2,8,4,15,0.267,0,7,0.0,0,0,0.0,2,4,6,3,5,1,0,4,-1,5.795,Unknown,Unassigned
Nikola Đurišić,1,23.8,8,4,10,0.4,0,1,0.0,0,0,0.0,1,2,3,1,2,1,0,8,5,5.49,Unknown,Unassigned
Noah Penda,1,25.9,8,4,9,0.444,0,3,0.0,0,0,0.0,0,3,3,4,2,2,0,2,4,5.715,Unknown,Unassigned
Sidy Cissoko,1,21.1,8,4,7,0.5710000000000001,0,2,0.0,0,0,0.0,1,4,5,2,1,1,0,3,13,6.46,Unknown,Unassigned
Sion James,1,19.0,8,4,7,0.5710000000000001,0,3,0.0,0,0,0.0,1,2,3,3,2,0,0,3,-3,5.455,Unknown,Unassigned
Stanley Umude,1,12.5,8,3,6,0.5,1,3,0.3329999999999999,1,3,0.3329999999999999,1,1,2,0,0,1,0,2,-14,7.355,Unknown,Unassigned
Taelon Peter,1,28.0,8,4,5,0.8,0,1,0.0,0,0,0.0,0,3,3,0,1,2,0,2,12,7.45,Unknown,Unassigned
Tamar Bates,1,17.8,8,3,9,0.3329999999999999,1,2,0.5,1,1,1.0,2,0,2,2,2,3,0,2,7,12.305,Unknown,3&D Wing
Tyson Etienne,1,22.0,8,3,10,0.3,2,6,0.3329999999999999,0,0,0.0,3,1,4,2,2,2,0,4,-1,6.565,Unknown,Unassigned
Zakai Zeigler,1,18.5,8,2,4,0.5,2,2,1.0,2,2,1.0,0,1,1,1,3,1,0,3,-1,14.975,Unknown,Unassigned
Alex Toohey,1,23.5,7,2,9,0.222,1,4,0.25,2,4,0.5,1,2,3,1,2,4,0,2,-47,5.885,Unknown,Unassigned
Amari Bailey,1,9.3,7,2,4,0.5,1,2,0.5,2,2,1.0,0,1,1,2,0,1,0,1,7,12.115,Unknown,3&D Wing
Craig Porter Jr.,1,6.5,7,2,2,1.0,1,1,1.0,2,2,1.0,0,1,1,1,0,0,0,1,9,16.825,Unknown,Unassigned
DJ Carton,1,14.8,7,3,6,0.5,0,2,0.0,1,2,0.5,1,5,6,1,2,0,0,2,1,7.69,Unknown,Unassigned
Darius Brown,1,18.1,7,2,3,0.667,0,1,0.0,3,3,1.0,0,1,1,4,1,1,0,1,1,10.69,Unknown,Euro Facilitator
Harrison Ingram,1,19.4,7,3,7,0.429,1,3,0.3329999999999999,0,0,0.0,1,5,6,4,1,1,0,2,24,8.03,Unknown,Unassigned
Jack McVeigh,1,15.8,7,3,8,0.375,1,4,0.25,0,0,0.0,1,4,5,1,1,1,0,1,-13,5.115,Unknown,Unassigned
Jamal Cain,1,18.3,7,3,4,0.75,1,1,1.0,0,0,0.0,1,2,3,1,0,0,0,2,2,11.015,Unknown,Unassigned
Jameer Nelson Jr.,1,19.9,7,1,5,0.2,0,2,0.0,5,5,1.0,0,2,2,4,5,2,0,2,17,9.945,Unknown,Unassigned
Jazian Gortman,1,15.8,7,3,7,0.429,1,4,0.25,0,0,0.0,0,2,2,1,0,0,0,0,-5,5.285,Unknown,Unassigned
Jesse Edwards,1,15.6,7,3,3,1.0,0,0,0.0,1,2,0.5,0,1,1,1,1,1,1,2,2,9.58,Unknown,Unassigned
Malik Williams,1,13.3,7,3,6,0.5,0,3,0.0,1,1,1.0,0,2,2,1,1,0,1,3,-5,9.465,Unknown,Unassigned
Mohamed Diawara,1,17.4,7,3,7,0.429,1,3,0.3329999999999999,0,1,0.0,3,4,7,1,1,0,0,1,0,6.63,Unknown,Unassigned
Olivier Nkamhoua,1,11.9,7,3,4,0.75,1,2,0.5,0,0,0.0,0,1,1,2,1,0,0,0,11,8.495,Unknown,Unassigned
PJ Hall,1,9.7,7,2,2,1.0,1,1,1.0,2,2,1.0,2,1,3,1,1,0,1,6,-5,16.835,Unknown,Unassigned
Reece Beekman,1,19.8,7,3,5,0.6,0,0,0.0,1,1,1.0,0,2,2,6,2,2,0,0,1,10.59,Unknown,Unassigned
Sir'Jabari Rice,1,18.0,7,3,10,0.3,1,5,0.2,0,1,0.0,3,2,5,1,0,1,1,3,0,5.55,Unknown,Unassigned
Tyler Smith,1,25.3,7,1,4,0.25,1,3,0.3329999999999999,4,7,0.5710000000000001,1,2,3,0,2,0,0,4,-1,8.935,Unknown,Unassigned
Adem Bona,1,17.0,6,3,6,0.5,0,1,0.0,0,0,0.0,3,2,5,0,1,1,2,4,-26,3.75,Unknown,Unassigned
Andre Jackson Jr.,1,22.0,6,2,2,1.0,2,2,1.0,0,0,0.0,1,4,5,3,3,0,0,4,5,13.05,Unknown,Unassigned
Ariel Hukporti,1,20.4,6,3,5,0.6,0,0,0.0,0,2,0.0,2,3,5,2,1,0,2,5,-16,5.02,Unknown,Unassigned
Brooks Barnhizer,1,27.6,6,2,11,0.182,0,5,0.0,2,6,0.3329999999999999,1,6,7,3,3,7,0,2,4,7.205,Unknown,Unassigned
Caleb Grill,1,15.4,6,2,6,0.3329999999999999,2,6,0.3329999999999999,0,0,0.0,0,0,0,1,1,0,0,1,-14,4.65,Unknown,Unassigned
Daeqwon Plowden,1,14.9,6,2,6,0.3329999999999999,2,4,0.5,0,0,0.0,0,4,4,0,0,0,0,1,1,6.41,Unknown,Unassigned
Devone Grant,1,10.4,6,2,4,0.5,2,2,1.0,0,0,0.0,0,1,1,2,1,0,0,2,-8,8.77,Unknown,Unassigned
Dink Pate,1,13.7,6,1,8,0.125,1,2,0.5,3,3,1.0,2,4,6,3,0,0,0,0,4,10.96,Unknown,Unassigned
Erik Stevenson,1,16.3,6,2,5,0.4,2,5,0.4,0,0,0.0,1,3,4,1,2,0,0,1,2,6.515,Unknown,Unassigned
Jahmir Young,1,17.9,6,2,5,0.4,0,1,0.0,2,2,1.0,0,2,2,3,3,1,0,0,-19,8.395,Unknown,Unassigned
Jalen Crutcher,1,17.7,6,2,6,0.3329999999999999,2,5,0.4,0,0,0.0,0,0,0,1,0,0,0,0,-7,5.3,Unknown,Unassigned
Justin Edwards,1,19.7,6,2,6,0.3329999999999999,2,5,0.4,0,0,0.0,0,1,1,0,3,0,0,3,-29,4.65,Unknown,Unassigned
Kendall Brown,1,7.4,6,2,4,0.5,1,1,1.0,1,2,0.5,0,1,1,0,0,0,0,0,6,11.62,Unknown,Unassigned
Moussa Cisse,1,16.2,6,3,7,0.429,0,0,0.0,0,0,0.0,2,1,3,0,0,1,0,4,-13,3.655,Unknown,Unassigned
Nell Joseph,1,15.5,6,3,5,0.6,0,0,0.0,0,0,0.0,3,4,7,0,1,1,2,2,2,5.575,Unknown,Unassigned
Steven Ashworth,1,9.0,6,1,1,1.0,1,1,1.0,3,3,1.0,0,1,1,2,3,0,0,2,-3,16.55,Unknown,Unassigned
Trevor Keels,1,9.5,6,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0,1,0,0,0,0,5,6.675,Unknown,Unassigned
Cam Carter,1,7.2,5,2,4,0.5,1,3,0.3329999999999999,0,0,0.0,0,3,3,2,1,0,0,1,10,6.275,Unknown,Unassigned
Carter Bryant,1,18.8,5,1,6,0.1669999999999999,1,4,0.25,2,2,1.0,1,4,5,2,2,1,3,2,17,10.925,Unknown,Glue Guy
Chibuzo Agbo,1,8.9,5,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,8,11.545,Unknown,Unassigned
Colin Castleton,1,16.6,5,2,6,0.3329999999999999,1,2,0.5,0,0,0.0,4,4,8,0,3,1,1,4,12,7.645,Unknown,Unassigned
Damion Baugh,1,10.5,5,2,3,0.667,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,1,4,7.26,Unknown,Unassigned
Elijah Harkless,1,29.8,5,1,6,0.1669999999999999,0,4,0.0,3,4,0.75,1,1,2,2,1,4,0,6,7,8.425,Unknown,Unassigned
Grant Nelson,1,13.6,5,2,4,0.5,1,3,0.3329999999999999,0,0,0.0,1,1,2,1,1,0,0,1,-9,5.495,Unknown,Unassigned
Hunter Dickinson,1,10.6,5,2,3,0.667,0,0,0.0,1,2,0.5,0,1,1,2,1,0,1,1,4,7.565,Unknown,Unassigned
Hunter Maldonado,1,11.1,5,2,5,0.4,1,4,0.25,0,0,0.0,0,1,1,1,0,1,0,2,2,5.055,Unknown,Unassigned
Jamarion Sharp,1,19.7,5,2,3,0.667,0,0,0.0,1,2,0.5,2,4,6,0,2,0,2,1,9,8.77,Unknown,Unassigned
Kam Jones,1,20.4,5,2,4,0.5,0,0,0.0,1,2,0.5,0,2,2,3,2,2,0,1,0,7.32,Unknown,Unassigned
Kon Knueppel,1,29.9,5,1,8,0.125,0,5,0.0,3,6,0.5,0,1,1,4,3,1,0,3,6,6.97,Unknown,Unassigned
Max Shulga,1,21.6,5,2,4,0.5,0,2,0.0,1,2,0.5,0,3,3,3,0,2,1,3,-2,7.53,Unknown,Unassigned
Noa Essengue,1,24.3,5,2,7,0.286,1,3,0.3329999999999999,0,2,0.0,1,2,3,0,7,3,1,3,-32,4.71,Unknown,Unassigned
Will Riley,1,20.2,5,2,6,0.3329999999999999,1,3,0.3329999999999999,0,0,0.0,0,3,3,0,1,0,0,0,-11,4.99,Unknown,Unassigned
Zyon Pullin,1,24.3,5,2,6,0.3329999999999999,1,3,0.3329999999999999,0,0,0.0,0,2,2,4,2,0,0,0,-3,5.745,Unknown,Unassigned
Bub Carrington,1,32.2,4,1,9,0.111,1,5,0.2,1,2,0.5,1,2,3,5,0,2,0,2,-10,7.065,Unknown,Unassigned
Danny Wolf,1,20.0,4,0,5,0.0,0,3,0.0,4,4,1.0,0,6,6,2,4,0,1,2,-3,7.9,Unknown,Stretch Big / Rim Protector
David Muoka,1,17.0,4,1,6,0.1669999999999999,0,0,0.0,2,2,1.0,1,4,5,1,1,1,0,2,-23,7.035,Unknown,Unassigned
Dawson Garcia,1,13.6,4,2,3,0.667,0,1,0.0,0,0,0.0,2,3,5,1,2,0,1,6,-4,5.315,Unknown,Unassigned
Dmytro Skapintsev,1,16.4,4,1,4,0.25,0,1,0.0,2,2,1.0,2,1,3,2,1,0,2,5,14,9.27,Unknown,Unassigned
Izan Almansa,1,6.7,4,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,-8,5.485,Unknown,Unassigned
James Nnaji,1,11.4,4,1,1,1.0,0,0,0.0,2,4,0.5,0,0,0,0,1,1,1,6,-2,9.02,Unknown,Unassigned
Jamir Watkins,1,14.2,4,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,3,0,2,-7,3.76,Unknown,Unassigned
Jarkel Joiner,1,4.5,4,2,2,1.0,0,0,0.0,0,1,0.0,0,2,2,1,0,0,0,1,9,6.425,Unknown,Unassigned
John Poulakidas,1,13.3,4,2,9,0.222,0,6,0.0,0,1,0.0,0,1,1,1,0,1,0,2,0,3.175,Unknown,Unassigned
Kira Lewis Jr.,1,26.0,4,1,6,0.1669999999999999,0,2,0.0,2,2,1.0,0,5,5,7,1,0,0,3,-6,8.735,Unknown,Unassigned
Malevy Leons,1,24.3,4,2,4,0.5,0,1,0.0,0,0,0.0,0,4,4,4,1,1,2,4,16,6.065,Unknown,Unassigned
Quincy Guerrier,1,6.4,4,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,7,11.22,Unknown,Unassigned
Taevion Kinsey,1,10.5,4,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,2,0,0,11,6.675,Unknown,Unassigned
Ty Brewer,1,7.3,4,2,4,0.5,0,1,0.0,0,0,0.0,2,0,2,0,1,2,0,0,0,3.765,Unknown,Unassigned
William Hickey,1,4.5,4,0,1,0.0,0,0,0.0,4,4,1.0,2,1,3,0,1,0,0,2,-9,5.875,Unknown,Unassigned
Wooga Poplar,1,17.8,4,0,1,0.0,0,0,0.0,4,4,1.0,0,2,2,0,2,0,0,2,-17,6.09,Unknown,Unassigned
Ben Saraf,1,17.6,3,1,5,0.2,0,1,0.0,1,2,0.5,1,0,1,2,2,0,0,2,-11,4.88,Unknown,Unassigned
Caleb Daniels,1,11.5,3,0,2,0.0,0,2,0.0,3,4,0.75,0,1,1,0,0,0,0,2,-15,4.475,Unknown,Unassigned
Chris Ledlum,1,14.8,3,1,2,0.5,1,1,1.0,0,0,0.0,1,2,3,1,2,0,0,2,-3,9.04,Unknown,Unassigned
Christian Koloko,1,12.9,3,0,3,0.0,0,2,0.0,3,4,0.75,2,0,2,1,0,0,1,2,-15,4.795,Unknown,Unassigned
DaJaun Gordon,1,16.1,3,1,5,0.2,1,3,0.3329999999999999,0,0,0.0,1,1,2,1,0,0,0,3,-14,3.82,Unknown,Unassigned
Isaiah Crawford,1,15.2,3,1,2,0.5,1,1,1.0,0,0,0.0,1,5,6,1,1,0,1,1,3,9.61,Unknown,Unassigned
Isaiah Mobley,1,24.7,3,0,9,0.0,0,4,0.0,3,4,0.75,0,5,5,4,5,0,0,6,-2,7.285,Unknown,Unassigned
Keion Brooks Jr.,1,16.1,3,1,3,0.3329999999999999,1,2,0.5,0,0,0.0,1,1,2,0,1,2,0,3,6,6.27,Unknown,Unassigned
Keyontae Johnson,1,12.4,3,1,3,0.3329999999999999,0,1,0.0,1,2,0.5,1,1,2,2,0,0,0,3,-4,5.585,Unknown,Unassigned
Leaky Black,1,9.4,3,0,3,0.0,0,3,0.0,3,4,0.75,0,3,3,1,2,1,0,2,-5,5.37,Unknown,Unassigned
Miller Kopp,1,11.1,3,1,3,0.3329999999999999,1,3,0.3329999999999999,0,0,0.0,0,0,0,0,0,0,0,3,-4,4.385,Unknown,Unassigned
Phlandrous Fleming Jr.,1,14.8,3,1,2,0.5,0,1,0.0,1,2,0.5,0,3,3,1,3,0,0,2,-9,6.39,Unknown,Unassigned
RJ Davis,1,7.5,3,1,4,0.25,0,2,0.0,1,3,0.3329999999999999,0,0,0,1,0,0,0,3,-13,3.54,Unknown,Unassigned
Sean Pedulla,1,15.3,3,1,4,0.25,1,3,0.3329999999999999,0,0,0.0,0,3,3,1,1,1,0,3,10,5.38,Unknown,Unassigned
Tyreke Key,1,4.5,3,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,9,11.025,Unknown,Unassigned
Yuki Kawamura,1,19.8,3,1,6,0.1669999999999999,1,5,0.2,0,0,0.0,0,4,4,2,4,1,0,3,-25,3.275,Unknown,Unassigned
Andrew Carr,1,12.8,2,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,1,0,0,0,1,1,2.69,Unknown,Unassigned
Blake Hinson,1,8.9,2,1,6,0.1669999999999999,0,5,0.0,0,0,0.0,0,0,0,0,2,0,1,1,-13,1.53,Unknown,Unassigned
Chucky Hepburn,1,14.0,2,1,5,0.2,0,4,0.0,0,0,0.0,1,2,3,4,1,1,0,4,7,3.45,Unknown,Unassigned
Clifford Omoruyi,1,4.5,2,0,0,0.0,0,0,0.0,2,4,0.5,0,0,0,1,0,0,1,1,9,3.725,Unknown,Unassigned
Dwight Murray Jr.,1,9.9,2,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,1,-6,2.095,Unknown,Unassigned
Erik Reynolds II,1,12.4,2,1,3,0.3329999999999999,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,-15,2.035,Unknown,Unassigned
Great Osobor,1,4.0,2,1,1,1.0,0,0,0.0,0,2,0.0,0,2,2,0,1,1,0,0,7,6.15,Unknown,Unassigned
Hunter Sallis,1,17.6,2,0,6,0.0,0,2,0.0,2,2,1.0,0,2,2,1,1,0,0,1,-13,6.28,Unknown,Unassigned
Ibrahima Diallo,1,13.2,2,1,1,1.0,0,0,0.0,0,2,0.0,0,3,3,2,1,0,1,3,22,7.71,Unknown,Unassigned
Isaiah Stevens,1,15.6,2,1,6,0.1669999999999999,0,2,0.0,0,0,0.0,1,0,1,1,0,1,0,0,-4,2.165,Unknown,Unassigned
Isaiah Wong,1,8.5,2,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,2.475,Unknown,Unassigned
Kobe Johnson,1,15.4,2,1,3,0.3329999999999999,0,1,0.0,0,0,0.0,2,1,3,0,2,1,0,1,-14,2.585,Unknown,Unassigned
Kylor Kelley,1,22.6,2,1,4,0.25,0,0,0.0,0,0,0.0,1,9,10,0,2,1,0,5,-12,3.53,Unknown,Unassigned
Lachlan Olbrich,1,22.0,2,0,2,0.0,0,0,0.0,2,2,1.0,1,1,2,0,4,1,0,5,-14,6.5,Unknown,Unassigned
Landers Nolley II,1,5.8,2,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,2,0,0,0,0,-7,5.34,Unknown,Unassigned
Lawson Lovering,1,15.9,2,1,1,1.0,0,0,0.0,0,4,0.0,2,2,4,1,0,0,0,2,-7,6.395,Unknown,Unassigned
Luka Scuka,1,9.0,2,1,4,0.25,0,1,0.0,0,2,0.0,0,1,1,1,0,0,0,2,-2,2.35,Unknown,Unassigned
Marques Bolden,1,9.0,2,0,3,0.0,0,2,0.0,2,2,1.0,1,0,1,0,0,0,1,1,-16,5.4,Unknown,Unassigned
Matthew Cleveland,1,8.8,2,1,4,0.25,0,1,0.0,0,0,0.0,3,2,5,1,1,0,0,1,3,2.89,Unknown,Unassigned
Max Abmas,1,16.2,2,1,6,0.1669999999999999,0,2,0.0,0,0,0.0,0,0,0,0,1,2,0,3,-5,2.245,Unknown,Unassigned
Rocco Zikarsky,1,3.8,2,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,2,-2,5.64,Unknown,Unassigned
Saint Thomas,1,5.9,2,1,3,0.3329999999999999,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,-7,2.16,Unknown,Unassigned
TJ Bamba,1,12.5,2,0,7,0.0,0,4,0.0,2,2,1.0,1,0,1,0,1,2,0,2,-4,6.625,Unknown,Unassigned
Trey Alexander,1,14.6,2,0,3,0.0,0,2,0.0,2,2,1.0,0,0,0,2,1,0,0,1,-1,6.43,Unknown,Unassigned
Trey Jemison III,1,11.4,2,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,2,2,1,0,1,1,6.42,Unknown,Unassigned
Tyler Burton,1,8.5,2,1,4,0.25,0,2,0.0,0,0,0.0,0,4,4,1,0,0,0,0,7,2.925,Unknown,Unassigned
Wendell Moore Jr.,1,15.7,2,0,4,0.0,0,1,0.0,2,4,0.5,1,3,4,0,0,0,1,2,-2,4.385,Unknown,Unassigned
John Ukomadu,1,15.5,1,0,4,0.0,0,3,0.0,1,2,0.5,1,1,2,0,1,0,1,5,4,4.575,Unknown,Unassigned
Justin McKoy,1,5.5,1,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,1,0,0,7,3.575,Unknown,Unassigned
Moses Brown,1,2.7,1,0,0,0.0,0,0,0.0,1,2,0.5,1,2,3,0,0,0,0,1,2,3.285,Unknown,Unassigned
Spencer Jones,1,21.5,1,0,3,0.0,0,2,0.0,1,2,0.5,0,2,2,0,1,1,0,5,-5,4.325,Unknown,Unassigned
Stefan Todorovic,1,6.7,1,0,2,0.0,0,0,0.0,1,2,0.5,0,1,1,0,1,0,0,0,-8,2.885,Unknown,Unassigned
Tristen Newton,1,13.4,1,0,2,0.0,0,0,0.0,1,2,0.5,0,2,2,1,2,2,0,2,-5,3.77,Unknown,Unassigned
Yanic Konan Niederhäuser,1,26.4,1,0,4,0.0,0,1,0.0,1,2,0.5,2,8,10,0,2,2,4,4,-2,5.77,Unknown,Unassigned
Alondes Williams,1,15.2,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,1,-1,1.16,Unknown,Unassigned
Anton Watson,1,5.2,0,0,1,0.0,0,1,0.0,0,0,0.0,1,0,1,2,0,0,0,0,-3,0.41,Unknown,Unassigned
Arthur Kaluma,1,8.3,0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-17,-0.285,Unknown,Unassigned
Biwali Bayles,1,2.8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,3,0.49,Unknown,Unassigned
Bogoljub Marković,1,11.2,0,0,2,0.0,0,2,0.0,0,2,0.0,0,1,1,1,2,0,0,1,-5,0.91,Unknown,Unassigned
Buddy Boeheim,1,7.3,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-5,0.265,Unknown,Unassigned
Cameron Brown,1,13.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,2,0,2,-10,0.715,Unknown,Unassigned
Cameron Matthews,1,19.8,0,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,2,0,4,-7,1.34,Unknown,Unassigned
Chase Hunter,1,13.0,0,0,3,0.0,0,2,0.0,0,0,0.0,1,3,4,2,2,0,0,1,6,1.85,Unknown,Unassigned
Chris Manon,1,14.7,0,0,4,0.0,0,1,0.0,0,2,0.0,1,2,3,0,3,0,1,3,0,1.735,Unknown,Unassigned
Dane Goodwin,1,9.1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-9,0.005,Unknown,Unassigned
Dillon Jones,1,8.7,0,0,2,0.0,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,2,-7,0.535,Unknown,Unassigned
Dylan Cardwell,1,9.9,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-4,0.445,Unknown,Unassigned
Efton Reid III,1,1.3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-6,-0.185,Unknown,Unassigned
Jaden Springer,1,16.8,0,0,2,0.0,0,1,0.0,0,0,0.0,1,2,3,1,1,0,0,2,-18,0.59,Unknown,Unassigned
Jahmyl Telfort,1,3.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-3,0.09,Unknown,Unassigned
Jalen Hood-Schifino,1,21.1,0,0,4,0.0,0,1,0.0,0,0,0.0,1,1,2,0,1,1,0,6,-19,0.955,Unknown,Unassigned
Jalen Slawson,1,14.4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,4,2,2,0,-5,1.12,Unknown,Unassigned
Jaxson Robinson,1,14.4,0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0,2,1,0,0,2,-4,1.07,Unknown,Unassigned
Jeremy Jones,1,11.0,0,0,3,0.0,0,2,0.0,0,0,0.0,0,2,2,1,1,0,0,0,-11,0.55,Unknown,Unassigned
Josh Uduje,1,6.3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,10,0.965,Unknown,Unassigned
Kadin Shedrick,1,9.7,0,0,2,0.0,0,0,0.0,0,0,0.0,2,0,2,2,0,2,1,5,-3,1.135,Unknown,Unassigned
Kerwin Walton,1,0.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-1,0.045,Unknown,Unassigned
Khalif Battle,1,14.2,0,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,1,2,1,0,1,9,1.66,Unknown,Unassigned
Lance Ware,1,2.9,0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,0,3,0.395,Unknown,Unassigned
Liam Robbins,1,4.8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-1,0.44,Unknown,Unassigned
Maozinha Pereira,1,8.2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,2,-14,-0.09,Unknown,Unassigned
Marcus Williams,1,12.4,0,0,3,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,1.07,Unknown,Unassigned
Markquis Nowell,1,13.6,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,7,1,0,0,1,-4,1.13,Unknown,Unassigned
Mylik Wilson,1,1.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,1,0.27,Unknown,Unassigned
Nate Hinton,1,8.0,0,0,4,0.0,0,2,0.0,0,0,0.0,2,2,4,0,0,1,0,3,-13,0.65,Unknown,Unassigned
Nate Santos,1,10.3,0,0,2,0.0,0,1,0.0,0,0,0.0,0,4,4,1,1,0,0,1,-1,1.165,Unknown,Unassigned
Noah Farrakhan,1,3.9,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,1,0.345,Unknown,Unassigned
Robert Baker,1,9.7,0,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,2,-7,0.685,Unknown,Unassigned
Romeo Weems,1,3.8,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-7,-0.01,Unknown,Unassigned
Tyson Degenhart,1,4.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,3,9,0.925,Unknown,Unassigned
Yudai Baba,1,1.5,0,0,1,0.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,0.425,Unknown,Unassigned
