Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,Euro Archetype,European Archetype
Jamir Watkins,3.8583,16.0,4.5,1.0,4.0,0.25,0.0,2.0,0.0,2.5,3.0,0.833,1.0,1.5,2.5,0.5,0.0,2.5,0.0,2.5,-6,,TBD
Ty Brewer,6.4244,11.5,4.5,2.0,4.5,0.444,0.5,1.5,33.3,0.0,1.0,0.0,1.5,1.5,3.0,0.0,1.0,1.0,0.0,1.0,-4,,TBD
Warith Alatishe,4.5867,17.7,4.5,2.0,3.0,0.667,0.0,0.0,0.0,0.5,1.0,0.5,2.5,2.0,4.5,1.0,0.5,0.5,2.5,0.5,2,,TBD
Zhuric Phelps,5.7986,13.5,4.5,2.0,7.0,0.286,0.5,3.0,16.7,0.0,1.5,0.0,0.5,1.0,1.5,2.0,0.5,0.5,1.0,1.0,1,,TBD
Arthur Kaluma,6.9655,12.8,4.3,1.7,3.7,0.455,0.7,1.7,40.0,0.3,0.7,0.5,0.3,1.7,2.0,0.7,0.7,0.0,0.7,2.7,-6,,TBD
Jameer Nelson Jr.,4.1633,11.6,4.3,1.0,3.0,0.333,0.0,1.0,0.0,2.3,2.3,1.0,0.0,0.7,0.7,2.0,1.7,1.0,0.0,0.7,8,,TBD
Kyle Mangas,6.7783,14.5,4.3,1.3,4.0,0.333,0.7,3.3,20.0,1.0,1.3,0.75,0.3,1.3,1.7,1.7,1.0,0.3,0.0,1.0,9,,TBD
Malik Williams,5.0956,9.0,4.3,1.7,3.0,0.556,0.3,1.3,25.0,0.7,1.7,0.4,0.7,1.7,2.3,0.7,0.3,0.3,0.3,1.7,-5,,TBD
Matthew Cleveland,6.4713,14.7,4.3,1.7,5.3,0.313,0.3,1.3,25.0,0.7,0.7,1.0,2.3,1.7,4.0,0.7,1.3,0.0,0.7,1.7,-3,,TBD
Yanic Konan Niederhäuser,5.5129,24.1,4.3,2.0,4.7,0.429,0.0,0.7,0.0,0.3,0.7,0.5,1.0,4.0,5.0,0.0,1.7,2.0,1.7,3.0,-1,,TBD
Aaron Estrada,1.78,11.8,4.0,2.0,4.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.5,0.0,0.5,0.0,-9,,TBD
Carter Bryant,7.7958,25.3,4.0,1.0,8.0,0.125,0.3,4.0,8.3,1.7,2.0,0.833,0.7,3.3,4.0,1.0,2.7,0.7,2.0,4.0,4,,TBD
Chucky Hepburn,7.5033,14.7,4.0,1.5,4.5,0.333,1.0,4.0,25.0,0.0,0.0,0.0,0.5,1.0,1.5,4.0,1.5,1.5,0.0,4.0,6,,TBD
David Muoka,2.6167,12.6,4.0,1.7,3.3,0.5,0.0,0.0,0.0,0.7,1.0,0.667,1.3,2.0,3.3,0.7,0.7,0.7,0.3,0.7,-8,,TBD
Dawson Garcia,4.0267,13.6,4.0,2.0,3.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,2.0,0.0,1.0,6.0,-4,,TBD
Great Osobor,4.4605,12.8,4.0,1.7,3.7,0.455,0.0,0.3,0.0,0.7,2.7,0.25,1.7,3.3,5.0,1.0,1.0,0.7,0.3,2.0,3,,TBD
Hunter Maldonado,5.9655,13.3,4.0,1.7,3.7,0.455,0.7,2.3,28.6,0.0,0.3,0.0,0.7,0.3,1.0,0.7,0.0,1.3,0.3,1.3,-1,,TBD
Jahmai Mashack,6.475,24.5,4.0,2.0,8.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,3.0,0.0,2.0,1.0,4,,TBD
Jarkel Joiner,2.95,4.5,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,9,,TBD
Jaylin Williams,4.1367,18.2,4.0,1.0,6.0,0.167,0.0,1.0,0.0,2.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,-7,,TBD
Kadin Shedrick,4.38,11.3,4.0,1.0,3.0,0.333,0.0,0.5,0.0,2.0,3.0,0.667,2.0,0.0,2.0,1.0,0.0,1.5,1.0,3.5,7,,TBD
Khalif Battle,6.8908,14.2,4.0,1.0,2.7,0.375,0.3,1.0,33.3,1.7,2.0,0.833,0.3,1.0,1.3,1.0,2.0,0.3,0.3,2.3,-1,,TBD
Matt Cross,8.4467,22.8,4.0,1.0,6.0,0.167,1.0,4.0,25.0,1.0,2.0,0.5,3.0,6.0,9.0,2.0,2.0,0.0,1.0,4.0,-10,,TBD
Quincy Guerrier,2.64,6.4,4.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,TBD
William Hickey,1.85,4.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,-9,,TBD
Markquis Nowell,7.2831,18.1,3.7,1.0,4.3,0.231,0.7,3.0,22.2,1.0,1.7,0.6,0.3,1.3,1.7,6.3,1.7,1.0,0.3,1.7,2,,TBD
Taevion Kinsey,7.2714,9.4,3.7,1.7,2.3,0.714,0.3,0.7,50.0,0.0,0.0,0.0,0.3,1.0,1.3,0.0,0.0,1.0,0.0,0.3,0,,TBD
Blake Hinson,3.8054,10.9,3.5,1.0,6.5,0.154,0.5,5.0,10.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.5,0.5,-6,,TBD
Chaney Johnson,8.7882,15.4,3.5,1.0,5.5,0.182,0.5,1.5,33.3,1.0,1.0,1.0,1.5,2.5,4.0,0.5,2.0,0.5,0.5,3.5,9,,TBD
Hunter Dickinson,3.8033,12.1,3.5,1.5,2.5,0.6,0.0,0.5,0.0,0.5,1.5,0.333,0.5,2.0,2.5,1.5,1.5,0.5,1.5,2.0,3,,TBD
Isaiah Mobley,6.8881,23.1,3.5,0.5,7.5,0.067,0.0,3.5,0.0,2.5,3.5,0.714,1.0,4.5,5.5,2.5,4.0,0.0,0.5,4.0,2,,TBD
Jake Stephens,7.64,14.5,3.5,1.0,2.5,0.4,1.0,2.5,40.0,0.5,1.0,0.5,1.0,2.0,3.0,1.0,0.5,1.0,0.5,2.0,-2,,TBD
Olivier Nkamhoua,5.9829,12.1,3.5,1.5,3.5,0.429,0.5,1.5,33.3,0.0,0.0,0.0,1.0,0.5,1.5,1.0,1.0,0.0,0.0,0.5,-2,,TBD
Sir'Jabari Rice,5.42,14.7,3.5,1.5,7.5,0.2,0.5,3.5,14.3,0.0,0.5,0.0,1.5,2.0,3.5,0.5,1.5,1.0,1.0,3.0,-6,,TBD
Adama Sanogo,2.78,10.9,3.3,1.3,1.7,0.8,0.0,0.0,0.0,0.7,0.7,1.0,1.7,2.7,4.3,2.3,0.0,0.7,0.7,1.0,-6,,TBD
Aliou Diarra,1.555,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,TBD
Andrew Funk,8.03,13.8,3.0,1.0,2.0,0.5,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4,,TBD
D.J. Rodman,8.72,11.2,3.0,1.0,2.0,0.5,0.5,1.0,50.0,0.5,1.0,0.5,0.5,2.5,3.0,1.5,0.5,0.5,0.0,0.5,7,,TBD
DaJaun Gordon,6.5282,13.3,3.0,1.0,5.5,0.182,1.0,3.0,33.3,0.0,0.0,0.0,2.0,1.5,3.5,0.5,1.0,1.5,0.0,2.0,-7,,TBD
Damion Baugh,3.2958,13.7,3.0,1.3,4.3,0.308,0.0,1.0,0.0,0.3,1.3,0.25,0.3,1.0,1.3,1.3,1.0,1.0,0.3,1.3,0,,TBD
Donovan Williams,4.275,13.0,3.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,1.0,0.0,2.0,3.0,1.0,0,,TBD
Dwight Murray Jr.,2.78,9.8,3.0,1.5,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.5,1.0,0.0,0.0,0.5,5,,TBD
Isaiah Wong,5.1973,12.3,3.0,1.0,3.7,0.273,0.3,1.7,20.0,0.7,0.7,1.0,0.0,0.3,0.3,0.7,1.0,0.7,0.0,1.3,3,,TBD
Izan Almansa,0.89,4.4,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,-7,,TBD
Jalen Crutcher,6.1433,14.6,3.0,1.0,3.0,0.333,1.0,2.5,40.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,0.5,-9,,TBD
James Nnaji,2.4367,10.2,3.0,0.5,0.5,1.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.5,0.5,0.0,1.0,1.5,0.5,3.5,-4,,TBD
Keyontae Johnson,2.9233,12.4,3.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,-4,,TBD
Luka Scuka,2.8278,9.5,3.0,0.5,4.5,0.111,0.0,2.5,0.0,2.0,3.0,0.667,1.0,1.0,2.0,0.5,0.0,0.0,0.0,2.0,-4,,TBD
Nolan Hickman,12.9533,7.2,3.0,1.0,3.0,0.333,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,5,,TBD
R.J. Felton,11.96,3.6,3.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,TBD
Rocco Zikarsky,2.325,6.5,3.0,1.5,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,0.5,0.5,0.5,0.5,1.5,1,,TBD
Tyreke Key,12.15,4.5,3.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,,TBD
CJ Huntley,3.83,14.7,2.7,1.3,3.3,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.3,3.3,0.7,1.3,0.7,0.3,2.3,3,,TBD
Dane Goodwin,8.505,13.2,2.7,1.0,1.3,0.75,0.7,1.0,66.7,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.0,0.3,0.0,1.7,-6,,TBD
Steven Ashworth,3.6833,6.9,2.7,0.7,2.0,0.333,0.3,1.7,20.0,1.0,1.0,1.0,0.0,0.3,0.3,1.3,2.7,0.3,0.0,1.3,-7,,TBD
Chibuzo Agbo,6.9567,5.9,2.5,1.0,1.5,0.667,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,5,,TBD
Colin Castleton,9.0186,12.4,2.5,1.0,3.5,0.286,0.5,1.0,50.0,0.0,0.0,0.0,2.5,2.0,4.5,0.0,2.0,0.5,0.5,2.0,5,,TBD
Sean Pedulla,7.025,11.7,2.5,1.0,4.0,0.25,0.5,1.5,33.3,0.0,0.0,0.0,0.0,2.5,2.5,1.5,0.5,1.0,0.0,1.5,6,,TBD
TJ Bamba,5.3277,15.9,2.5,0.5,6.5,0.077,0.5,3.5,14.3,1.0,2.0,0.5,1.5,1.0,2.5,1.0,0.5,1.0,0.0,2.5,-4,,TBD
Trey Alexander,2.9075,16.2,2.5,0.5,4.0,0.125,0.0,1.0,0.0,1.5,2.0,0.75,0.0,1.0,1.0,1.0,1.5,0.0,0.0,1.0,-5,,TBD
Yudai Baba,1.6867,2.2,2.5,1.0,1.5,0.667,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,,TBD
Cam Matthews,4.33,25.9,2.3,1.0,4.0,0.25,0.0,1.0,0.0,0.3,1.3,0.25,1.3,2.7,4.0,1.7,0.7,1.0,0.3,2.3,-7,,TBD
Jamarion Sharp,3.055,17.4,2.3,1.0,1.3,0.75,0.0,0.0,0.0,0.3,0.7,0.5,1.7,2.3,4.0,0.0,1.0,0.3,1.3,1.7,-6,,TBD
John Poulakidas,3.9914,11.8,2.3,1.0,4.7,0.214,0.3,3.3,10.0,0.0,0.3,0.0,0.0,1.0,1.0,1.0,0.0,0.7,0.0,1.3,1,,TBD
Andrew Carr,2.45,10.1,2.0,1.0,2.5,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.5,2.5,3.0,0.5,0.5,0.0,0.5,1.0,-1,,TBD
Brandon Angel,2.23,7.8,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1.5,4,,TBD
Christian Shumate,2.77,13.2,2.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,-2,,TBD
Clifford Omoruyi,2.5,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,,TBD
D'Andre Davis,0.69,3.4,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,,TBD
Erik Reynolds II,0.72,8.3,2.0,1.0,2.5,0.4,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-10,,TBD
Jabri Abdur-Rahim,1.4767,7.1,2.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,-13,,TBD
Jon Elmore,1.45,11.5,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-13,,TBD
Jordan Gainey,1.89,5.9,2.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,2,,TBD
Josiah-Jordan James,0.945,12.2,2.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,-15,,TBD
Kylor Kelley,4.0433,20.6,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,6.5,0.0,3.5,0.5,0.5,4.0,-8,,TBD
Landers Nolley II,0.78,5.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-7,,TBD
Marques Bolden,0.9,9.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-16,,TBD
Moses Brown,2.0967,4.9,2.0,0.3,0.7,0.5,0.0,0.0,0.0,1.3,2.0,0.667,1.7,2.0,3.7,0.3,0.3,0.3,0.0,1.3,-1,,TBD
Saint Thomas,0.49,4.4,2.0,1.0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,-8,,TBD
Zack Austin,1.32,10.2,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9,,TBD
Dylan Cardwell,3.34,11.4,1.7,0.7,1.3,0.5,0.0,0.0,0.0,0.3,0.7,0.5,1.0,2.3,3.3,0.3,1.0,0.0,0.7,1.7,6,,TBD
Jahmyl Telfort,12.53,9.7,1.7,0.7,0.7,1.0,0.3,0.3,100.0,0.0,0.0,0.0,0.3,1.3,1.7,1.0,0.3,0.3,0.0,1.0,5,,TBD
Anton Watson,3.915,6.9,1.5,0.5,2.0,0.25,0.5,2.0,25.0,0.0,0.0,0.0,1.5,0.5,2.0,1.0,0.5,0.0,0.0,1.0,-6,,TBD
Biwali Bayles,6.53,2.8,1.5,0.5,1.0,0.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,5,,TBD
Justin McKoy,1.875,5.5,1.5,0.0,1.5,0.0,0.0,1.0,0.0,1.5,2.0,0.75,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,3,,TBD
Miller Kopp,3.42,11.0,1.5,0.5,2.5,0.2,0.5,2.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,-7,,TBD
Nate Hinton,4.51,11.5,1.5,0.5,5.0,0.1,0.5,2.5,20.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.5,0.5,3.5,-7,,TBD
Ibrahima Diallo,3.3033,7.9,1.3,0.3,1.0,0.333,0.0,0.0,0.0,0.7,1.3,0.5,0.7,3.0,3.7,1.0,1.3,0.0,1.0,1.0,8,,TBD
Chase Hunter,3.1811,12.2,1.0,0.5,4.5,0.111,0.0,2.0,0.0,0.0,0.0,0.0,0.5,2.0,2.5,1.0,2.5,0.5,0.0,1.5,1,,TBD
Jeremy Jones,3.0225,13.1,1.0,0.5,4.0,0.125,0.0,3.0,0.0,0.0,0.0,0.0,0.5,1.0,1.5,0.5,0.5,0.5,0.0,0.0,4,,TBD
John Ukomadu,4.2,15.5,1.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,0.0,1.0,0.0,1.0,5.0,4,,TBD
Julian Reese,1.82,7.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,-4,,TBD
Marcus Williams,3.3425,13.8,1.0,0.5,4.0,0.125,0.0,2.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,2.5,2.0,0.5,1.5,1.5,0,,TBD
Selton Miguel,0.9733,4.9,1.0,0.5,1.5,0.333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.5,0.0,0.0,0.5,-3,,TBD
Stefan Todorovic,0.82,6.7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-8,,TBD
Trey Jemison III,2.4,10.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,1.0,1.5,0.5,0.0,1.5,2,,TBD
Aaron Scott,0.43,5.3,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-9,,TBD
Ben Gregg,-0.31,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7,,TBD
Buddy Boeheim,0.95,8.5,0.0,0.0,3.5,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,-8,,TBD
Cameron Brown,0.9,13.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,0.0,1.0,0.5,1.5,-13,,TBD
Cesare Edwards,0.72,4.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-4,,TBD
Dajuan Harris Jr.,0.34,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-3,,TBD
Dillon Jones,1.07,8.7,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,-7,,TBD
Efton Reid III,-0.37,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,,TBD
Hayden Gray,-0.31,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-7,,TBD
Isaac Nogues,1.62,10.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,-2,,TBD
J'Wan Roberts,-0.02,7.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-11,,TBD
Jaden Akins,0.5,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-3,,TBD
Jaden Springer,1.18,16.8,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,-18,,TBD
Jalen Hood-Schifino,1.91,21.1,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,6.0,-19,,TBD
Jalen Slawson,2.24,14.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,0.0,-5,,TBD
James Banks III,-0.04,5.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-10,,TBD
James Caron Butler Jr.,0.84,4.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-1,,TBD
Jamiya Neal,0.4,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-6,,TBD
Jaxson Robinson,1.74,9.9,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1,,TBD
Josh Oduro,0.44,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,-3,,TBD
Josh Uduje,1.93,6.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10,,TBD
Keisei Tominaga,0.58,1.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,,TBD
Kerwin Walton,0.16,3.1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-4,,TBD
Lance Ware,0.99,2.4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5,,TBD
Liam Robbins,0.79,5.9,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,-4,,TBD
Mitch Mascari,1.68,5.8,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5,,TBD
Nate Santos,1.23,6.8,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.5,1.0,0.5,0.0,1.0,-5,,TBD
Nathan Mensah,1.6,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,-1,,TBD
Noah Farrakhan,0.69,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,,TBD
Patrick McCaffery,-0.45,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-13,,TBD
Romeo Weems,-0.02,3.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7,,TBD
Steve Crowl,0.07,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-8,,TBD
Steve Settle III,1.18,12.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,-11,,TBD
T.J. Bickerstaff,4.02,17.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,7.0,2.0,1.0,2.0,0.0,1.0,-1,,TBD
TY Johnson,3.94,14.4,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,3.5,4.0,2.0,0.0,0.0,1.0,2.0,5,,TBD
Tyson Degenhart,1.85,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,9,,TBD
Wade Taylor IV,-0.52,5.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,-17,,TBD
Zach Hicks,-0.21,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-7,,TBD
